Month,Project Name,Batch,Email,Name,Role,Items,Skipped,Hour,Rate (INR),Amount,Invoice,Accoutn Status
May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Sabah - Intern,Annotator,8022,39,,0.5,4011.00,,Pending for Payment
April,Killi,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Palguni - Intern,QC,7982,,,0.6,4789.20,,Paid on 15.07.2026
March+ April,Roboflow,Batch 7,operations-a@biztechanalytics.com,Pavani,Reviewer,4288,,,0.23,986.24,,
March,Roboflow,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Suhrid,QA,6024,,35.8,100,3580.00,,
April,Hindi Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Sneha,QC,5257,69,,0.2,"""1,051.40""",,
Pending - May,Pending - PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Aishwarya,QC,8133,,,0.23,1870.59,,
March+ April,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,97.3,120,11676.00,,
May,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Pranav - Intern,EC - Submitter,2937,,,0.23,675.51,,
April,Roboflow,New Project Knox - 180,operations-a@biztechanalytics.com,Uppu Venkatesh,EC - Submitter,4471,112,,0.5,2235.50,,Paid on 17.06.2026
April,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Pradeep Sharma,QC,958,,,0.2,191.60,,
March,Pending - PDF,Batch 7,rohankhanna@biztechanalytics.com,Bhavya - Intern,Reviewer,4239,,,0.56,2373.84,,Pending for Payment
June -2026,Pending - PDF,Batch 7,operations-a@biztechanalytics.com,Sarth Kumar,EC - Submitter,8189,,,0.6,"""4,913.40""",,
June -2026,Hindi Project,Astra - Hindi,operations-a@biztechanalytics.com,Priyam,Reviewer,379,24,,0.23,87.17,,
Pending - May,PDF,Astra - Hindi,operations-a@biztechanalytics.com,Suhrid Sharma,Reviewer,2780,,,0.6,1668.00,,
June -2026,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Kaushik - Intern,EC - Submitter,6843,,,0.5,"""3,421.50""",,Return by Bank due to Wrong Account
Pending - May,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Ritika,Annotator,790,,,0.56,442.40,,
May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Atiya - Intern,QC,835,,,0.2,167.00,,
April,PDF,Batch 6,operations-a@biztechanalytics.com,Mukesh - Intern,QC,757,63,,0.2,151.40,,Return by Bank due to Wrong Account
May,Hindi Project,Batch 6,rohankhanna@biztechanalytics.com,Kiran Bala,QA,1465,,,0.2,293.00,,
May,Killi,Astra - Hindi,operations-a@biztechanalytics.com,Mukesh,Reviewer,8864,,,0.5,4432.00,,
Pending - May,Hindi Project,Batch 6,operations-a@biztechanalytics.com,Ajay Kumar,Reviewer,2541,,,25,1270.50,,
Pending - May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Priyam,EC - Submitter,6146,,,0.2,1229.20,,
March,Killi,New Project Knox - 180,rohankhanna@biztechanalytics.com,Kathryn Kumar,Reviewer,8537,44,,0.5,4268.50,,Return by Bank due to Wrong Account
June,PDF,Batch 6,not-an-email,Sabah - Intern,Annotator,50,,,0.56,28.00,,
April,Terminus,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Joy,Reviewer,7484,,,0.5,3742.00,,Paid on 17.06.2026
June -2026,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Rahela,QA,7449,,15.5,120,1860.00,,Paid on 17.06.2026
March+ April,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Vivek - Intern,EC - Submitter,726,,,0.2,145.20,,
Pending - May,Hindi Project,Batch 7,operations-a@biztechanalytics.com,Durgai Sai,Reviewer,8289,,,0.56,4641.84,,
Pending - May,Hindi Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Somya,Annotator,2212,,,12,"""1,106.00""",,
Pending - May,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Sneha,QA,2812,,,12,1406.00,,
April,Pending - PDF,New Project Knox - 180,operations-a@biztechanalytics.com,Savithri Sharma,Annotator,6001,93,1.8,15,27.00,,Return by Bank due to Wrong Account
March,Hindi Project,Astra - Hindi,operations-a@biztechanalytics.com,Vishwa - Intern,Annotator,7710,,17.5,25,437.50,,Paid on 15.07.2026
Pending - May,PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Nishtha Sharma,Reviewer,1033,184,,0.23,237.59,,
June -2026,Killi,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Aditya Sharma,QC,3053,164,,0.6,1831.80,,Return by Bank due to Wrong Account
Pending - May,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Joy,QA,641,64,21.2,35,742.00,,
June -2026,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pranav,EC - Submitter,2421,,,0.2,484.20,,
June -2026,Terminus,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Rajyalakshmi - Intern,Annotator,436,153,,0.6,261.60,,
June -2026,Hindi Project,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ritika,QA,1690,,,12,845.00,,
March,Roboflow,Batch 6,rohankhanna@biztechanalytics.com,Rahela,EC - Submitter,532,,,0.56,297.92,,
May,Roboflow,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Vishwa - Intern,Annotator,629,,,12,314.50,,
June -2026,Hindi Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Sharul,QC,3728,,,0.56,2087.68,,
Pending - May,PDF,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Jyoti,Annotator,1307,,,0.56,731.92,,Paid on 15.07.2026
April,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Nishtha,QC,6098,,,0.5,3049.00,,
April,Killi,Batch 7,rohankhanna@biztechanalytics.com,Rahela - Intern,EC - Submitter,8129,,,0.23,1869.67,,Paid on 15.07.2026
Pending - May,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Suhrid Kumar,QA,5313,,,0.2,1062.60,,Paid on 17.06.2026
March+ April,Pending - PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Brijesh,Annotator,8898,,17.9,15,268.50,,Paid on 17.06.2026
March+ April,Roboflow,Batch 7,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,29.8,100,"""2,980.00""",,
May,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Atiya - Intern,QC,254,,,12,127.00,,
Pending - May,Roboflow,Batch 7,operations-a@biztechanalytics.com,Rajesh - Intern,Reviewer,472,,,0.5,236.00,,Pending for Payment
March+ April,Hindi Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Jyoti,EC - Submitter,2580,,20.6,12,247.20,,
April,Hindi Project,Astra - Hindi,operations-a@biztechanalytics.com,Rajyalakshmi - Intern,QC,3145,,,0.5,1572.50,,
Pending - May,Hindi Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Narendra,QA,7305,155,,0.56,4090.80,,
March,Terminus,Batch 7,operations-a@biztechanalytics.com,Uppu Venkatesh - Intern,Reviewer,1560,,,0.56,873.60,,
May,Pending - PDF,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Sneha - Intern,QA,2347,145,,0.2,469.40,,
Pending - May,Hindi Project,Batch 6,operations-a@biztechanalytics.com,Ajay Kumar,Reviewer,1029,,,0.56,576.24,,
Pending - May,Roboflow,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Ridhima - Intern,EC - Submitter,2281,,23.0,35,805.00,,
Pending - May,Pending - PDF,Batch 7,rohankhanna@biztechanalytics.com,Sarth,Annotator,8095,,3.5,100,350.00,,
June -2026,Pending - PDF,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Vivek Kumar,EC - Submitter,6244,,,0.56,"""3,496.64""",,Paid on 17.06.2026
April,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Angisa - Intern,QA,1169,,,0.23,268.87,,
May,Pending - PDF,Batch 7,operations-a@biztechanalytics.com,Anishka - Intern,EC - Submitter,3750,,27.1,25,677.50,,
March+ April,Killi,New Project Knox - 180,rohankhanna@biztechanalytics.com,Pavani Kumar,Reviewer,1551,,6.0,12,72.00,,
April,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Ajay Sharma,QA,6274,60,,0.56,3513.44,,Paid on 17.06.2026
March,Killi,New Project Knox - 180,rohankhanna@biztechanalytics.com,Vishwa Kumar,Reviewer,3371,,,0.6,"""2,022.60""",,Paid on 15.07.2026
June -2026,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Priyam,QC,7529,,18.9,25,472.50,,Pending for Payment
Pending - May,Killi,Batch 7,operations-a@biztechanalytics.com,Ankur,Annotator,8797,,13.9,25,347.50,,Paid on 17.06.2026
March,PDF,New Project Knox - 180,operations-a@biztechanalytics.com,Joy,Reviewer,1049,,,0.23,241.27,,
March+ April,PDF,Astra - Hindi,rohankhanna@biztechanalytics.com,Ritika - Intern,EC - Submitter,5584,,33.9,25,847.50,,Pending for Payment
April,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Aishwarya,Annotator,7908,146,,0.56,4428.48,,
March,PDF,new 100K consensus with QA3_AN1-5000,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,56.3,120,6756.00,,
May,Killi,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Ruchita,Reviewer,2086,,38.0,30,1140.00,,
Pending - May,PDF,TAX Form Canada-rework,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,39.4,500,19700.00,,
June -2026,Killi,Batch 6,operations-a@biztechanalytics.com,Pranav,QA,996,123,,0.2,199.20,,Return by Bank due to Wrong Account
March+ April,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Uppu Venkatesh,EC - Submitter,7702,12,10.5,12,126.00,,Paid on 15.07.2026
Pending - May,Terminus,Batch 6,operations-a@biztechanalytics.com,Jyoti - Intern,EC - Submitter,4905,,5.8,12,69.60,,
Pending - May,PDF,AN_1_SINGLE ANNOTATOR,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,76.0,120,9120.00,,
June -2026,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Mukesh,Reviewer,7220,,,0.5,"""3,610.00""",,Pending for Payment
March,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Sharul,EC - Submitter,8680,77,,0.23,"""1,996.40""",,
May,PDF,New Project Knox - 180,operations-a@biztechanalytics.com,Palguni - Intern,Annotator,1684,91,30.1,15,451.50,,
March+ April,Hindi Project,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Kaushik,QC,5718,,,0.23,1315.14,,Pending for Payment
April,Roboflow,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Sneha,EC - Submitter,2298,,25.0,120,3000.00,,
April,Short Form Video Project,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Kaushik,QC,1395,,,0.56,781.20,,
April,Killi,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Sarth - Intern,Reviewer,7491,,,0.6,4494.60,,
April,Short Form Video Project,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Mukesh,QA,2114,,21.0,25,525.00,,
April,Roboflow,Batch 7,operations-a@biztechanalytics.com,Mukesh - Intern,QA,7682,,23.9,25,597.50,,Pending for Payment
April,Terminus,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Sarth - Intern,Annotator,439,,,0.6,263.40,,Pending for Payment
June -2026,Hindi Project,TAX Form Canada-rework,operations-a@biztechanalytics.com,Sindhu,EC - Submitter,7149,,,0.6,"""4,289.40""",,
April,Killi,new_2_annotator_consensus_AN_1_7700_items,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,79.9,307,24529.30,,
June -2026,PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Jyoti - Intern,QA,8437,,,0.56,"""4,724.72""",,Return by Bank due to Wrong Account
June -2026,Roboflow,Batch 6,operations-a@biztechanalytics.com,Aman,QC,6232,,12.3,30,369.00,,Paid on 17.06.2026
March,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Sindhu Kumar,EC - Submitter,1102,,,0.2,220.40,,
March+ April,Killi,New Project Knox - 180,operations-a@biztechanalytics.com,Vivek - Intern,EC - Submitter,1204,,,25,602.00,,
March+ April,PDF,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sharul,QA,1640,,,0.2,328.00,,
March,Roboflow,New Project Knox - 180,rohankhanna@biztechanalytics.com,Sabah - Intern,Annotator,1245,88,13.4,100,"""1,340.00""",,Return by Bank due to Wrong Account
March+ April,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,EC - Submitter,1442,,,25,721.00,,
Pending - May,Short Form Video Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Pranav,EC - Submitter,5873,,33.7,35,"""1,179.50""",,
June -2026,Terminus,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Dipti - Intern,Reviewer,5053,,,0.56,2829.68,,Return by Bank due to Wrong Account
March+ April,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajyalakshmi,QA,992,,,0.2,198.40,,Return by Bank due to Wrong Account
April,Short Form Video Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Amir Hamza,EC - Submitter,8882,,,0.2,"""1,776.40""",,
Pending - May,PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Brijesh - Intern,Reviewer,152,78,,0.6,91.20,,
March+ April,Terminus,AN_1_SINGLE ANNOTATOR,rahulmehta@biztechanalytics.com,Rahul Mehta,Annotator,,,73.9,500,36950.00,,
May,Killi,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pranav - Intern,EC - Submitter,5344,,,0.23,1229.12,,Paid on 17.06.2026
April,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rahela Kumar,Annotator,6745,,,0.2,1349.00,,
Pending - May,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Nishtha - Intern,QA,8785,,,0.5,"""4,392.50""",,
March,Terminus,New Project Knox - 180,operations-a@biztechanalytics.com,Kathryn - Intern,QA,2535,169,,0.2,507.00,,Paid on 15.07.2026
Pending - May,Pending - PDF,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Kathryn,QA,7247,,,0.23,"""1,666.81""",,Pending for Payment
June -2026,Hindi Project,Batch 6,rohankhanna@biztechanalytics.com,Sneha - Intern,Reviewer,1526,188,,0.5,763.00,,
March+ April,Pending - PDF,Batch 6,rohankhanna@biztechanalytics.com,Ankur,QC,6941,,,0.2,1388.20,,
April,Killi,Batch 7,rohankhanna@biztechanalytics.com,Himandri,Reviewer,8962,,,0.6,5377.20,,
Pending - May,PDF,Batch 7,operations-a@biztechanalytics.com,Pranav,Reviewer,7692,,,0.56,4307.52,,Paid on 15.07.2026
June,PDF,Batch 6,,Joy,Annotator,100,,,0.56,56.00,,
June -2026,Terminus,Astra - Hindi,rohankhanna@biztechanalytics.com,Priyam,QC,6703,176,,0.56,3753.68,,
March+ April,Pending - PDF,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Ruchita - Intern,QC,2370,,4.8,120,576.00,,
May,Killi,TAX Form Canada-rework,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,95.8,100,9580.00,,
March,Roboflow,Batch 6,operations-a@biztechanalytics.com,Bhavya Kumar,QA,3189,,,0.6,1913.40,,Pending for Payment
June -2026,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Sindhu - Intern,Reviewer,4400,,,0.2,880.00,,
June -2026,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pavani Sharma,QA,3340,106,29.6,12,355.20,,
March+ April,Killi,TAX Form Canada-rework,operations-a@biztechanalytics.com,Harshit,QC,3483,168,,0.56,"""1,950.48""",,
June -2026,Short Form Video Project,Astra - Hindi,rohankhanna@biztechanalytics.com,Aman,Annotator,3052,,0.9,35,31.50,,
March,Hindi Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Swarupa,Reviewer,4777,,,0.23,1098.71,,Return by Bank due to Wrong Account
March,PDF,Batch 7,rohankhanna@biztechanalytics.com,Palguni Kumar,QC,7118,30,,0.2,1423.60,,
June -2026,Roboflow,TAX Form Canada-rework,operations-a@biztechanalytics.com,Amir Hamza - Intern,Reviewer,3020,,19.4,120,"""2,328.00""",,Return by Bank due to Wrong Account
May,Killi,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Mukesh Kumar,QA,5461,,12.8,100,1280.00,,Paid on 17.06.2026
June -2026,Roboflow,new_2_annotator_consensus_AN_1_7700_items,dhruvgupta9191@gmail.com,Dhruv Gupta,EC - Submitter,,,82.4,100,8240.00,,
April,Roboflow,New Project Knox - 180,operations-a@biztechanalytics.com,Priyam Kumar,QC,8196,,,0.2,1639.20,,Return by Bank due to Wrong Account
June -2026,Roboflow,new 100K consensus with QA3_AN1-5000,operations-a@biztechanalytics.com,Nishtha,Reviewer,7025,,,0.2,1405.00,,
Pending - May,Killi,Batch 7,operations-a@biztechanalytics.com,Kaushik - Intern,QC,5447,,,0.5,2723.50,,
March+ April,Terminus,Astra - Hindi,priyasharma@biztechanalytics.com,Priya Sharma,EC - Submitter,,,65.7,120,7884.00,,
June -2026,Terminus,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Swarupa Kumar,EC - Submitter,4525,134,1.0,100,100.00,,Pending for Payment
March,Killi,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Brijesh,Annotator,8938,,,0.23,2055.74,,
March+ April,Terminus,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Sabah,Reviewer,873,,,12,436.50,,
Pending - May,Terminus,Astra - Hindi,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,95.2,307,"""29,226.40""",,
April,Hindi Project,Astra - Hindi,operations-a@biztechanalytics.com,Sarth - Intern,Reviewer,7564,,20.4,30,612.00,,
March,Roboflow,TAX Form Canada-rework,operations-a@biztechanalytics.com,Pranav,Annotator,1790,,,0.56,"""1,002.40""",,
May,Roboflow,Batch 6,rohankhanna@biztechanalytics.com,Pranav,Annotator,1192,,,0.5,596.00,,
May,Hindi Project,New Project Knox - 180,operations-a@biztechanalytics.com,Anishka,QC,5617,,,0.5,2808.50,,
March,Pending - PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Kathryn Sharma,QC,2798,,19.2,12,230.40,,
March,Roboflow,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Rajyalakshmi - Intern,QC,7479,70,,0.56,4188.24,,
Pending - May,Pending - PDF,Batch 6,rohankhanna@biztechanalytics.com,Brijesh,QA,2689,,29.8,30,894.00,,
Pending - May,Killi,new_2_annotator_consensus_AN_1_7700_items,priyasharma@biztechanalytics.com,Priya Sharma,Annotator,,,28.4,307,"""8,718.80""",,
April,Killi,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Suhrid,Reviewer,4945,,,0.5,"""2,472.50""",,Paid on 15.07.2026
March,PDF,Batch 7,operations-a@biztechanalytics.com,Sneha Sharma,QC,7406,45,32.5,120,3900.00,,Paid on 15.07.2026
June -2026,Terminus,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Mukesh,EC - Submitter,1279,,,0.6,767.40,,Pending for Payment
March,Terminus,Batch 7,operations-a@biztechanalytics.com,Ruchita - Intern,QC,8693,,14.3,100,1430.00,,
March,Roboflow,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Palguni,Annotator,6179,142,,0.2,1235.80,,
April,Short Form Video Project,Batch 6,rohankhanna@biztechanalytics.com,Sabah,QC,6568,18,31.1,25,777.50,,Paid on 15.07.2026
March,PDF,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Meena,QC,8004,,,0.56,4482.24,,
April,Terminus,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Rajesh - Intern,Annotator,8664,,30.4,25,760.00,,Return by Bank due to Wrong Account
June -2026,Pending - PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Vivek,QA,2153,,,0.56,"""1,205.68""",,
March+ April,Hindi Project,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Uppu Venkatesh - Intern,EC - Submitter,4210,,,0.5,2105.00,,Return by Bank due to Wrong Account
March,Hindi Project,TAX Form Canada-rework,operations-a@biztechanalytics.com,Rajesh,Reviewer,7657,,,0.2,"""1,531.40""",,Paid on 17.06.2026
June -2026,Hindi Project,Batch 6,operations-a@biztechanalytics.com,Pranav - Intern,EC - Submitter,1229,172,,0.23,282.67,,
June -2026,Pending - PDF,TAX Form Canada-rework,operations-a@biztechanalytics.com,Bhavya,Annotator,4135,,16.5,35,577.50,,
March,Pending - PDF,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Meena - Intern,QC,8300,74,,0.56,"""4,648.00""",,Pending for Payment
June -2026,Short Form Video Project,New Project Knox - 180,rohankhanna@biztechanalytics.com,Uppu Venkatesh Kumar,QC,8105,,13.8,35,483.00,,
June -2026,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Pranav Sharma,QC,3119,,,0.5,1559.50,,Return by Bank due to Wrong Account
May,Terminus,Batch 7,dhruvgupta9191@gmail.com,Dhruv Gupta,Annotator,,,29.7,307,9117.90,,
April,Killi,TAX Form Canada-rework,rohankhanna@biztechanalytics.com,Pranav Sharma,Reviewer,2773,36,,0.6,1663.80,,
March,Killi,Batch 6,rohankhanna@biztechanalytics.com,Bhavya,QC,4076,,,0.2,815.20,,Paid on 17.06.2026
June -2026,Short Form Video Project,new_2_annotator_consensus_AN_1_7700_items,operations-a@biztechanalytics.com,Jyoti Sharma,EC - Submitter,1208,,,0.56,676.48,,Return by Bank due to Wrong Account
April,Killi,AN_1_SINGLE ANNOTATOR,rohankhanna@biztechanalytics.com,Sabah,EC - Submitter,1696,,,0.56,949.76,,Paid on 17.06.2026
March,Hindi Project,AN_1_SINGLE ANNOTATOR,operations-a@biztechanalytics.com,Jyoti Sharma,Annotator,1076,,,0.6,645.60,,Pending for Payment
April,Pending - PDF,New Project Knox - 180,rohankhanna@biztechanalytics.com,Harshit,QA,3972,,,0.2,794.40,,
March+ April,Killi,new_2_annotator_consensus_AN_1_7700_items,rohankhanna@biztechanalytics.com,Sai Charan,QC,6607,,,0.6,3964.20,,Return by Bank due to Wrong Account
May,Killi,Batch 7,rohankhanna@biztechanalytics.com,Sindhu,Annotator,2692,,,0.6,"""1,615.20""",,Pending for Payment
May,Roboflow,AN_1_SINGLE ANNOTATOR,priyasharma@biztechanalytics.com,Priya Sharma,EC - Submitter,,,1.5,120,180.00,,
March,Roboflow,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Narendra,QA,5711,23,5.1,120,612.00,,
June -2026,Roboflow,New Project Knox - 180,operations-a@biztechanalytics.com,Aman,Reviewer,2417,,34.5,12,414.00,,Paid on 17.06.2026
March,Roboflow,Batch 6,rohankhanna@biztechanalytics.com,Rahela,EC - Submitter,1143,,,12,571.50,,
June -2026,Pending - PDF,new 100K consensus with QA3_AN1-5000,rohankhanna@biztechanalytics.com,Savithri - Intern,Annotator,6815,,29.3,25,732.50,,
May,Pending - PDF,Batch 6,operations-a@biztechanalytics.com,Meena,QC,4786,,,0.56,"""2,680.16""",,
March,Pending - PDF,Batch 6,dhruvgupta9911@gmail.com,Ritika Garg,Annotator,,,57.7,500,28850.00,,
May,Killi,Astra - Hindi,rohankhanna@biztechanalytics.com,Atiya Sharma,Annotator,8646,,,0.6,5187.60,,
